gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	countryCode	locality	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
1519710637	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	5996edd0-151a-48f2-95d6-9358450c5ea5	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Maniola	Maniola jurtina		SPECIES	Maniola jurtina (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	51.33875	-0.1997	1000.0						2013-09-16T00:00:00Z	16	9	2013	5135513	5135513	HUMAN_OBSERVATION	Biological Records Centre	1		4948927			CC_BY_4_0					2018-12-09T21:26:05.532Z		
1519710638	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	8f6b08af-f99f-4733-b209-dce735dd9765	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Maniola	Maniola jurtina		SPECIES	Maniola jurtina (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	54.17269	-2.79042	1000.0						2006-07-25T00:00:00Z	25	7	2006	5135513	5135513	HUMAN_OBSERVATION	Biological Records Centre	1		2888842			CC_BY_4_0					2018-12-09T21:26:05.480Z		
1519710639	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	88cebf6a-952a-4c08-a463-25c1855a6655	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Polyommatus	Polyommatus icarus		SPECIES	Polyommatus icarus (Rottemburg, 1775)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	51.08447	0.83279	1000.0						1998-08-19T00:00:00Z	19	8	1998	5140214	5140214	HUMAN_OBSERVATION	Biological Records Centre	1		747864			CC_BY_4_0					2018-12-09T21:26:05.493Z		
1519710640	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	2801a25b-7fb5-4943-b442-e0e70e2874ad	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Vanessa	Vanessa atalanta		SPECIES	Vanessa atalanta (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	50.9779	-0.12822	1000.0						2010-07-30T00:00:00Z	30	7	2010	1898286	1898286	HUMAN_OBSERVATION	Biological Records Centre	1		3862133			CC_BY_4_0					2018-12-09T21:26:05.493Z		
1519710641	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	08a80ebb-e80a-459e-a5ca-dccc83c6c342	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris napi		SPECIES	Pieris napi (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	50.79421	-1.55444	1000.0						2007-09-16T00:00:00Z	16	9	2007	1920494	1920494	HUMAN_OBSERVATION	Biological Records Centre	1		3007896			CC_BY_4_0					2018-12-09T21:26:05.495Z		
1519710642	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	b81cdd5c-342f-4205-84b2-f87b1e6e2a24	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Maniola	Maniola jurtina		SPECIES	Maniola jurtina (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	51.56297	-0.162	1000.0						1994-08-23T00:00:00Z	23	8	1994	5135513	5135513	HUMAN_OBSERVATION	Biological Records Centre	1		2080131			CC_BY_4_0					2018-12-09T21:26:05.574Z		
1519710643	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	d5b52cf9-a39b-463a-909b-8e169a158dc4	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Anthocharis	Anthocharis cardamines		SPECIES	Anthocharis cardamines (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	51.57736	-1.96532	1000.0						2005-04-10T00:00:00Z	10	4	2005	1919712	1919712	HUMAN_OBSERVATION	Biological Records Centre	1		1459279			CC_BY_4_0					2018-12-09T21:26:05.569Z		
1519710644	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	8b249cde-dfc5-47b0-ab3f-ff71e3472a48	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Gonepteryx	Gonepteryx rhamni		SPECIES	Gonepteryx rhamni (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	51.36938	-2.52572	1000.0						2015-05-16T00:00:00Z	16	5	2015	1920712	1920712	HUMAN_OBSERVATION	Biological Records Centre	1		5769464			CC_BY_4_0					2018-12-09T21:26:05.494Z		
1519710645	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	14622577-f19e-4606-9b59-170d0dce4ed2	Animalia	Arthropoda	Insecta	Lepidoptera	Pieridae	Pieris	Pieris rapae		SPECIES	Pieris rapae (Linnaeus, 1758)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	51.3935	-2.97155	1000.0						2008-08-01T00:00:00Z	1	8	2008	1920496	1920496	HUMAN_OBSERVATION	Biological Records Centre	1		3330811			CC_BY_4_0					2018-12-09T21:26:05.547Z		
1519710646	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	29404353-e846-4537-a1d1-4e25500881e5	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Polyommatus	Polyommatus icarus		SPECIES	Polyommatus icarus (Rottemburg, 1775)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	55.53167	-1.62926	1000.0						1981-07-07T00:00:00Z	7	7	1981	5140214	5140214	HUMAN_OBSERVATION	Biological Records Centre	1		1978473			CC_BY_4_0					2018-12-09T21:26:05.477Z		
1519710647	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	1e2ed237-6d3c-45a6-b205-5b0131230647	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Lasiommata	Lasiommata megera		SPECIES	Lasiommata megera (Linnaeus, 1767)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	50.59592	-3.54846	1000.0						2011-08-05T00:00:00Z	5	8	2011	4535632	4535632	HUMAN_OBSERVATION	Biological Records Centre	1		4035118			CC_BY_4_0					2018-12-09T21:26:05.572Z		
1519710648	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	b0deaf98-a8ff-4876-9184-9a4bb44dc80a	Animalia	Arthropoda	Insecta	Lepidoptera	Nymphalidae	Lasiommata	Lasiommata megera		SPECIES	Lasiommata megera (Linnaeus, 1767)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	54.93867	-1.65034	1000.0						2011-08-05T00:00:00Z	5	8	2011	4535632	4535632	HUMAN_OBSERVATION	Biological Records Centre	1		4028851			CC_BY_4_0					2018-12-09T21:26:05.579Z		
1519710649	1e266c3d-92ef-4d5a-8e4a-c04742c772c3	37ab7d06-0bfe-45ed-b7b6-20e1325c664a	Animalia	Arthropoda	Insecta	Lepidoptera	Lycaenidae	Aricia	Aricia agestis		SPECIES	Aricia agestis (Denis & Schiffermuller, 1775)	GB		0c392aa0-a452-4254-be5c-e49dd60e9b02	51.09106	-1.58015	1000.0						2014-08-22T00:00:00Z	22	8	2014	1933095	1933095	HUMAN_OBSERVATION	Biological Records Centre	1		4967545			CC_BY_4_0					2018-12-09T21:26:05.487Z		
